FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
H,1.909090909,0.9090909091,W,W,L,L,D,L,1.636363636,-0.2727272727,0.2727272727,-14
H,1.181818182,1,D,W,D,L,W,D,-0.2727272727,-0.9090909091,0.4545454545,-7
H,0.7272727273,1.454545455,L,D,D,L,W,W,-0.1818181818,0.1818181818,0,-2
NH,0.5454545455,1.363636364,L,L,D,D,L,W,-1.090909091,0.09090909091,-0.6363636364,14
H,1.636363636,1.090909091,W,W,L,W,D,L,0.3636363636,-0.2727272727,0.2727272727,-9
H,1.363636364,0.5454545455,W,L,D,L,L,D,0,-1.090909091,0.8181818182,1
NH,0.9166666667,2,L,L,W,W,W,W,-0.9166666667,1.916666667,-0.5,13
H,1.5,1.75,W,D,L,W,W,W,0.1666666667,0.5,0,-1
NH,1.166666667,1.583333333,L,W,W,W,L,L,-0.4166666667,0.1666666667,0.1666666667,10
NH,0.8333333333,2,L,L,L,W,W,W,-0.1666666667,1,-0.75,10
H,1.333333333,1.5,L,L,W,W,W,D,0.08333333333,0.3333333333,-0.4166666667,-7
H,0.8333333333,1.333333333,L,L,D,W,W,L,-0.6666666667,0.6666666667,-0.5,10
H,1.166666667,1.333333333,L,W,L,W,D,W,-0.1666666667,-0.1666666667,-0.4166666667,3
NH,1,1.583333333,L,W,D,W,W,D,-0.4166666667,0.4166666667,-0.4166666667,7
NH,0.4166666667,0.9166666667,L,L,L,W,L,D,-1,-0.08333333333,-0.5833333333,7
NH,2,0.4166666667,W,W,W,L,L,L,1,-1,1,-14
H,1.692307692,1.307692308,W,W,W,W,L,W,0.5384615385,-0.07692307692,0.3076923077,-4
NH,0.5384615385,0.9230769231,L,D,L,L,L,W,-1.076923077,-0.4615384615,-0.1538461538,4
H,1.384615385,1.384615385,L,W,W,W,L,W,0.2307692308,0.07692307692,0.2307692308,0
NH,1.692307692,1.461538462,W,W,L,W,L,L,0.2307692308,0.1538461538,-0.1538461538,-3
H,2.076923077,0.7692307692,W,W,W,L,L,L,1.846153846,-0.2307692308,0.6923076923,-11
NH,1.230769231,1,L,W,D,W,L,L,-0.2307692308,-0.5384615385,0.3076923077,-8
H,0.9230769231,1.076923077,D,W,L,L,L,W,-0.07692307692,-0.4615384615,0,-9
NH,1.230769231,1.461538462,L,W,W,D,W,D,0.5384615385,0.1538461538,0.07692307692,2
H,1.615384615,0.8461538462,L,W,W,L,L,L,0.3846153846,-0.9230769231,0.3846153846,-10
H,1.384615385,1.230769231,W,L,W,L,W,W,0.07692307692,0.5384615385,-0.1538461538,13
H,0.5,0.5,D,D,L,L,L,D,-0.8571428571,-1.071428571,0.07142857143,-1
H,1.071428571,2,W,L,L,D,W,W,-0.3571428571,0.9285714286,-0.4285714286,11
NH,1.357142857,1.071428571,L,D,W,W,D,W,0.07142857143,0.1428571429,-0.2142857143,-6
