FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
NH,1.138888889,2.305555556,D,W,W,D,D,W,-0.25,1.25,0.05555555556,16
NH,1.333333333,1.472222222,D,D,L,W,D,L,-0.05555555556,0.3611111111,-0.1111111111,8
NH,1.054054054,1.351351351,L,L,D,W,W,W,-0.1891891892,-0.1891891892,-0.2162162162,-10
NH,0.8648648649,1.324324324,L,L,L,D,L,L,-1.027027027,-0.02702702703,-0.02702702703,3
H,0.8108108108,1.135135135,D,D,L,D,D,W,-0.4864864865,-0.2432432432,-0.2432432432,0
NH,1.918918919,2.027027027,L,L,W,W,L,D,0.7297297297,0.972972973,0.02702702703,-3
H,1.216216216,1.027027027,L,L,L,W,D,L,-0.1351351351,-0.05405405405,-0.05405405405,2
NH,1.243243243,1.486486486,D,L,L,W,W,D,0,0.1621621622,-0.1891891892,-8
H,1.054054054,1.162162162,L,D,L,W,W,W,-0.3513513514,-0.1891891892,-0.2702702703,4
NH,1.324324324,2.27027027,D,W,D,D,D,D,0.1351351351,1.216216216,0.02702702703,12
NH,1.459459459,0.8648648649,D,L,W,W,D,W,0.3243243243,-1,-0.05405405405,-15
NH,1.243243243,1.459459459,D,L,L,D,L,W,0,0.3243243243,-0.05405405405,5
H,2.289473684,0.8684210526,W,D,D,W,D,D,1.210526316,-0.4210526316,0.1052631579,-16
NH,1.473684211,1.894736842,D,W,W,D,L,L,0.1578947368,0.7105263158,0.1842105263,15
NH,1.131578947,1.289473684,L,W,W,L,D,D,-0.2105263158,-0.1315789474,0.2368421053,-7
NH,1.394736842,1.289473684,W,W,W,L,D,W,-0.1578947368,0.1052631579,0.2631578947,3
H,1.315789474,1.236842105,D,D,L,D,D,L,-0.02631578947,0,-0.05263157895,4
H,2,0.8684210526,D,W,L,D,L,L,0.9473684211,-1,0.07894736842,-11
NH,1.552631579,1.447368421,W,W,W,D,D,L,0.4736842105,0.3157894737,0.1052631579,2
H,1,1.026315789,L,W,D,L,L,L,-0.07894736842,-0.2105263158,0.07894736842,2
H,1.105263158,1.263157895,L,D,D,W,L,L,-0.2894736842,-0.1052631579,0.05263157895,7
NH,0.8684210526,1.105263158,D,W,D,W,L,D,-0.9736842105,-0.3157894737,0.07894736842,8
H,2.25,0.75,W,W,W,L,W,L,1,-0.5,1.5,-10
H,1.5,0.75,W,W,L,D,D,D,0,0,0.75,-1
H,0.25,1.5,L,L,D,W,W,L,-0.5,0.25,-1.25,9
H,1,0.25,W,L,D,L,L,D,0,-1,0.75,-7
NH,0.5,2.25,D,L,D,W,W,W,-0.25,2,-1.75,17
H,1.25,1,D,W,D,W,L,D,0.25,0,0.25,5
H,1.5,1,W,L,W,L,W,D,0.5,0,0.5,4
NH,1,1.5,D,W,L,W,W,L,0,0,-0.5,-14
H,1,1,W,L,D,L,W,D,0,0,0,4
NH,1,2.25,L,D,W,W,W,W,-0.25,1,-1.25,4
NH,1.8,1,W,W,L,D,D,W,0.6,0,0.8,5
NH,0.8,2.4,L,L,W,W,W,W,-0.2,2.2,-1.6,8
H,1.4,0.6,W,L,W,L,D,D,0.6,-0.2,0.8,-14
NH,0.8,1.4,W,L,L,D,W,W,0.4,0,-0.6,-1
H,1.4,0.8,W,W,L,L,W,L,0.2,-0.2,0.6,1
H,0.4,0.4,L,D,L,D,L,L,-0.6,-0.8,0,-10
H,1.4,0.2,W,W,L,L,L,L,0.4,-1,1.2,-5
NH,1.6,0.4,W,D,W,L,D,L,0.4,-0.8,1.2,-3
NH,1.2,0.6,L,W,W,L,L,W,-0.6,-0.6,0.6,-5
NH,2.4,1.8,W,W,W,W,W,L,2.2,0.6,0.6,-7
NH,0.6666666667,1.166666667,L,L,W,D,L,W,-0.3333333333,-0.5,-0.5,3
H,0.3333333333,1.166666667,L,D,L,L,W,W,-1.166666667,0.1666666667,-0.8333333333,2
NH,0.1666666667,0.6666666667,L,L,L,L,W,L,-1.166666667,0.1666666667,-0.5,2
NH,0.5,1.333333333,D,L,D,D,W,L,-0.6666666667,0.1666666667,-0.8333333333,12
NH,0.5,0.6666666667,L,L,D,L,L,L,-0.6666666667,-0.6666666667,-0.1666666667,9
NH,2.166666667,1.5,D,W,W,D,W,D,0.8333333333,0.3333333333,0.6666666667,-13
H,1.666666667,1.666666667,W,D,W,W,W,W,0.1666666667,0.3333333333,0,6
NH,0.6666666667,0.8333333333,D,L,L,W,L,D,-0.5,0,-0.1666666667,7
H,1,1.166666667,D,D,D,L,W,L,0,0.3333333333,-0.1666666667,-1
NH,1.333333333,0.1666666667,D,W,L,L,L,L,0.1666666667,-1.166666667,1.166666667,-12
NH,1.571428571,0.7142857143,D,D,W,D,L,L,0.4285714286,-0.2857142857,0.5714285714,-2
H,0.7142857143,0.5714285714,D,L,L,L,D,L,-0.5714285714,-0.5714285714,0,-3
H,1.428571429,0.5714285714,W,L,W,D,D,L,0.7142857143,-0.5714285714,0.8571428571,-14
NH,1,2.285714286,W,L,W,D,W,W,0.2857142857,2,-1,15
NH,1.428571429,2,L,W,W,D,D,W,0.1428571429,0.7142857143,-0.2857142857,9
H,1.142857143,0.5714285714,W,W,L,D,L,L,0.1428571429,-0.5714285714,0.5714285714,-13
NH,1.428571429,1.285714286,D,D,W,W,D,D,0.2857142857,0.1428571429,0,12
NH,1,1.857142857,L,L,W,W,W,D,0,0.2857142857,-1,-4
H,1.142857143,0.7142857143,D,D,L,W,L,D,-0.4285714286,-0.8571428571,0.5714285714,-8
H,2.285714286,1.142857143,D,W,W,D,D,L,2,-0.4285714286,0.7142857143,-6
NH,0.625,1.25,L,W,L,D,D,D,-0.875,0.125,-0.25,9
NH,2,1.25,W,W,W,L,D,D,0.375,0.125,0.875,2
NH,0.5,1,L,D,D,D,L,L,-0.875,0,-0.5,5
NH,0.5,0.875,L,L,D,L,W,L,-0.625,0.125,-0.625,-4
H,0.5,1.5,L,D,L,D,D,D,-0.75,0.375,-0.875,10
NH,0.75,1.375,D,D,L,W,W,W,-0.25,0.375,-0.625,5
H,2.125,1.25,W,D,D,L,W,L,0.75,0.5,0.625,-2
NH,1.5,1.25,W,W,D,L,L,W,0.25,0,0,-8
H,0.25,1,D,L,L,W,D,L,-1,-0.375,-0.375,9
H,2.375,1.25,W,D,W,D,D,D,1.875,0.125,0.875,-5
NH,0.7777777778,1.444444444,D,D,D,D,W,W,-0.2222222222,0.2222222222,-0.6666666667,7
NH,0.6666666667,1.222222222,D,L,W,D,L,L,-0.7777777778,0,-0.2222222222,4
H,1.333333333,0.5555555556,L,D,D,W,D,L,0.2222222222,-0.6666666667,0.2222222222,-10
H,1.777777778,0.5555555556,L,W,W,D,L,L,0.2222222222,-0.5555555556,0.8888888889,5
NH,0.8888888889,1.444444444,L,W,D,W,L,W,-0.5555555556,0.6666666667,-0.5555555556,5
H,0.8888888889,2.222222222,D,L,W,W,W,D,0.1111111111,0.7777777778,-0.4444444444,14
NH,0.7777777778,0.5555555556,W,L,D,D,L,D,-0.5555555556,-0.7777777778,0.1111111111,0
NH,1.222222222,1.333333333,L,W,D,D,W,W,-0.6666666667,0.3333333333,-0.5555555556,2
H,1.222222222,1.444444444,W,D,L,W,L,D,0.1111111111,0.2222222222,-0.1111111111,-2
H,1.222222222,0.8888888889,D,D,D,L,W,D,0.1111111111,-0.5555555556,0.3333333333,-3
H,2,0.6,L,W,W,L,D,L,0.6,-1.1,0.4,-13
H,0.5,0.8,L,W,D,D,W,L,-0.7,-0.5,-0.1,0
H,1.6,1.2,W,W,L,D,L,W,0.8,-0.6,0.3,-3
NH,0.6,1.9,D,D,L,W,L,W,-0.7,0.3,-0.8,1
NH,1.3,1.5,L,W,L,W,L,D,0.1,0.3,-0.1,7
H,1.4,2.5,D,D,W,W,W,W,0.2,2.1,-0.4,2
NH,1.4,1.2,W,D,L,D,W,D,0.4,0.1,0.2,-2
H,1.3,1.1,D,D,W,W,D,L,0.3,0.2,0.4,-11
NH,0.5,0.8,L,D,L,D,D,D,-0.6,-0.2,-0.2,2
NH,2.5,0.5,W,W,W,L,D,L,2.1,-0.6,1.1,-11
NH,0.8181818182,0.7272727273,D,D,D,W,L,W,-0.1818181818,-0.3636363636,-0.1818181818,-8
NH,0.5454545455,1.545454545,L,L,D,D,W,W,-1.363636364,0.7272727273,-0.5454545455,11
NH,1.090909091,1.363636364,L,D,L,D,W,D,-0.7272727273,0.3636363636,0,-4
NH,2,1.272727273,W,W,L,W,L,D,0.3636363636,0.09090909091,0.5454545455,11
H,0.7272727273,1.181818182,L,L,L,L,L,W,-0.8181818182,0,0,-6
H,1.363636364,1.545454545,W,D,W,W,D,D,0.2727272727,0.3636363636,-0.2727272727,10
NH,0.7272727273,2.090909091,L,D,W,W,L,W,-0.7272727273,0.9090909091,-0.4545454545,16
H,1.636363636,1.454545455,W,W,L,W,D,D,0.3636363636,0.3636363636,-0.2727272727,3
NH,1,0.5454545455,L,W,D,L,D,D,0.09090909091,-0.7272727273,0.3636363636,-2
H,1.272727273,1.363636364,W,L,D,W,D,W,0.09090909091,0.2727272727,-0.1818181818,-7
H,2.166666667,1.916666667,W,W,L,D,W,W,1.083333333,0.3333333333,0.1666666667,-15
NH,0.9166666667,2.166666667,W,W,L,D,L,W,-0.25,1.583333333,0,17
NH,1.416666667,0.75,L,D,W,L,D,D,0.5833333333,-0.25,0.25,-6
NH,0.5833333333,0.5833333333,D,L,D,D,L,L,-0.6666666667,-1.25,0.08333333333,3
NH,0.5833333333,0.6666666667,D,D,L,L,L,D,-0.5,-0.9166666667,-0.08333333333,-6
NH,1.083333333,1,L,L,L,L,L,D,-0.1666666667,-0.75,-0.08333333333,8
NH,1.416666667,1,L,W,D,D,L,W,0.1666666667,0.08333333333,0.25,-13
NH,1.5,1.75,W,D,W,W,W,W,0.4166666667,0.4166666667,-0.1666666667,3
NH,1.333333333,0.9166666667,L,W,D,W,L,L,0.25,-0.5833333333,0.1666666667,-4
NH,0.75,1.916666667,L,D,D,D,W,W,-0.25,0.3333333333,-0.5,-7
NH,1.692307692,1.384615385,D,W,W,W,D,W,0.3846153846,0.3076923077,0.1538461538,2
H,1.153846154,0.6153846154,W,L,L,D,D,L,-0.6153846154,-0.6153846154,0,-11
NH,1.076923077,2.230769231,W,W,L,W,W,W,-0.3076923077,1.076923077,-0.4615384615,7
H,1.538461538,0.9230769231,W,L,D,D,W,W,0.6153846154,-0.2307692308,0,-14
NH,1,0.6153846154,D,D,L,D,D,L,0.07692307692,-1.153846154,0.2307692308,1
H,0.6153846154,1.153846154,D,D,D,L,L,W,-0.4615384615,-0.07692307692,-0.2307692308,-1
NH,1,2.076923077,L,L,L,D,D,L,-0.2307692308,1.461538462,-0.3846153846,14
NH,1.230769231,1.384615385,L,L,W,D,L,W,0,0.1538461538,-0.07692307692,2
NH,0.6923076923,1.461538462,D,L,L,D,W,D,-0.8461538462,0.3846153846,-0.3076923077,7
NH,2.076923077,0.6923076923,D,D,L,D,L,L,1.461538462,-0.8461538462,0.2307692308,-17
NH,2.285714286,1.571428571,W,W,W,L,D,W,1.214285714,0.2857142857,0.1428571429,-6
NH,0.8571428571,1.142857143,L,D,W,L,L,L,-0.2857142857,-0.1428571429,0.2142857143,13
H,1.857142857,1,W,L,D,L,W,W,0.2857142857,-0.5,0.2857142857,8
H,1.5,1.285714286,W,D,L,W,W,L,0.2857142857,-0.2857142857,0.07142857143,-4
H,1.571428571,1.428571429,W,D,W,L,W,L,0.4285714286,0.4285714286,0.2857142857,7
H,0.5714285714,0.7857142857,L,D,D,W,D,D,-0.8571428571,-0.3571428571,-0.2142857143,6
NH,1.071428571,1,L,L,L,D,D,D,-0.2142857143,0.07142857143,-0.1428571429,-3
NH,0.6428571429,0.8571428571,D,D,D,L,W,L,-1.071428571,-0.2142857143,-0.1428571429,5
H,1.5,0.9285714286,W,W,D,L,L,L,0.3571428571,-0.2857142857,0.7142857143,-9
NH,0.8571428571,0.5714285714,L,W,L,L,D,D,-0.2142857143,-0.8571428571,0.1428571429,-8
NH,1.533333333,1.2,D,L,D,W,L,L,0.2666666667,-0.1333333333,0.1333333333,-5
NH,1.2,2.2,L,W,W,D,W,W,-0.4,1.133333333,-0.4666666667,5
NH,0.9333333333,0.6666666667,L,L,W,D,D,D,-0.5333333333,-1,0.1333333333,-6
H,1.133333333,1.6,W,D,D,W,W,W,0.2,0.4,-0.4666666667,10
NH,0.7333333333,0.8,L,W,D,L,L,D,-0.4,-0.4,-0.06666666667,-6
NH,0.6666666667,1.6,D,L,D,W,W,D,-0.8,0.4,-0.5333333333,15
H,1.533333333,2.066666667,W,L,W,D,W,D,0.4666666667,1.333333333,0.06666666667,3
NH,1.266666667,1.933333333,W,L,L,W,W,L,0,0.3333333333,-0.2666666667,-12
H,0.8666666667,1.666666667,L,L,L,W,W,D,-0.3333333333,0.5333333333,-0.7333333333,4
H,2.066666667,0.8666666667,D,W,D,D,L,W,1.333333333,-0.2,0.06666666667,-9
NH,1.5,1.5,L,W,W,D,W,L,0.25,0.4375,0.1875,2
NH,0.8125,1,W,D,D,W,L,L,-0.8125,-0.1875,0.25,0
H,2.25,1.25,W,D,W,D,W,L,1.3125,0,0.5625,-3
H,1.875,1.4375,D,W,W,L,D,L,0.3125,0.1875,0.1875,9
H,1.6875,0.75,W,W,W,D,L,W,0.5625,-0.375,0.25,-9
NH,0.75,0.875,D,W,L,L,L,L,-0.6875,-0.625,0,9
H,1.3125,0.625,W,W,L,L,D,L,-0.0625,-0.9375,0.25,-5
NH,0.8125,1.125,D,L,L,L,L,W,-0.375,-0.625,-0.0625,11
H,1.5625,1.25,L,W,W,W,W,D,0.375,0.3125,0.0625,-5
NH,0.8125,0.8125,D,L,L,W,D,D,-0.375,-0.8125,-0.125,3
H,1.941176471,1.411764706,W,D,W,L,D,W,0.3529411765,0.3529411765,0.1764705882,13
NH,1.176470588,1.117647059,L,W,W,W,W,L,0.2352941176,-0.1176470588,0.1176470588,1
NH,1.176470588,1.294117647,L,D,W,D,W,W,-0.2352941176,-0.05882352941,-0.1764705882,-8
H,0.7058823529,1.352941176,L,D,W,L,L,D,-0.7058823529,0.1176470588,0.1764705882,10
NH,0.7058823529,1.647058824,L,D,L,W,L,W,-0.5294117647,0.4117647059,-0.2941176471,1
NH,0.5882352941,1.235294118,L,L,D,W,L,L,-0.9411764706,-0.5294117647,-0.4117647059,11
NH,2,2.294117647,W,L,D,W,W,D,1.294117647,1.470588235,-0.2941176471,-1
NH,1.470588235,0.8235294118,D,L,W,L,D,D,0.2352941176,-0.3529411765,0.2941176471,-4
NH,1,1.764705882,W,L,L,W,W,W,-0.5294117647,0.7058823529,-0.4117647059,6
NH,1.411764706,1.294117647,L,D,W,D,W,W,0.3529411765,-0.05882352941,0,-9
H,0.9444444444,0.5555555556,W,L,D,L,L,L,-0.2777777778,-0.9444444444,0.2222222222,-8
NH,0.7777777778,2,D,L,W,W,W,D,-0.7777777778,0.3888888889,-0.3888888889,-2
NH,1.277777778,1.111111111,L,L,L,L,L,W,0.05555555556,0.1666666667,-0.3333333333,-8
H,2.222222222,0.8333333333,D,W,W,W,L,D,1.388888889,-0.6111111111,0.2222222222,-16
H,1.722222222,0.7777777778,D,W,W,D,L,D,0.6666666667,-0.3888888889,0.6111111111,-15
H,1.611111111,1.388888889,D,W,L,L,D,L,0.3888888889,0.1666666667,0.1666666667,5
H,1.222222222,0.7222222222,W,W,W,D,L,D,-0.05555555556,-0.5,0.2222222222,3
H,1.388888889,1.166666667,D,L,D,D,L,D,0.3333333333,-0.2222222222,0,-1
NH,1.277777778,1.944444444,D,D,W,D,W,L,-0.05555555556,1.222222222,0,12
H,1.333333333,1,W,W,L,D,W,L,-0.4444444444,-0.5,0.2777777778,-2
H,2,0.9473684211,W,D,W,L,D,W,1.210526316,-0.5263157895,0.2105263158,-8
H,1.052631579,1.684210526,W,W,L,W,D,W,-0.05263157895,0.5263157895,-0.1052631579,-1
NH,0.7894736842,1.105263158,D,D,L,L,D,L,-0.7368421053,-0.3157894737,0.05263157895,10
H,2.263157895,1.315789474,W,D,W,L,L,D,1.526315789,0,0.3684210526,-4
NH,0.7368421053,1.210526316,L,D,L,L,D,D,-0.5263157895,-0.1052631579,-0.3157894737,5
H,1.947368421,1.210526316,D,W,W,W,L,L,0.3684210526,0.2105263158,0.1052631579,1
H,1.789473684,1.210526316,W,D,W,L,L,L,0.7894736842,0,0.6315789474,-5
NH,0.7894736842,1.315789474,L,W,L,W,W,W,-0.7894736842,0.1578947368,-0.2631578947,3
NH,0.6842105263,1.421052632,L,D,L,W,W,W,-0.6842105263,-0.3684210526,-0.3684210526,5
NH,0.5263157895,1.473684211,L,L,L,W,D,L,-1.105263158,0.4210526316,-0.3684210526,14
NH,1.25,1.85,L,L,L,W,W,D,-0.05,0.85,-0.6,3
NH,1.15,0.8,L,L,L,D,D,D,-0.1,-0.7,-0.3,-7
H,1.4,2,D,W,W,W,D,W,-0.35,0.4,-0.05,-10
NH,0.9,1.15,L,L,D,W,W,W,-0.6,0.05,-0.3,-1
H,1.55,0.7,W,W,D,D,L,D,0.65,-0.65,0.25,-8
NH,1.15,0.5,L,W,L,L,L,L,0.15,-1.3,0.3,-2
H,1.6,0.75,L,W,D,L,L,W,0.4,-0.85,0.15,-7
NH,1.3,2.3,W,L,D,W,W,D,-0.05,1.5,-0.25,11
NH,1.4,0.7,W,W,W,L,L,D,0.25,-0.55,0.65,-3
NH,1.1,2.05,D,L,D,W,W,D,-0.3,1.25,-0.35,4
H,1.19047619,0.9047619048,L,L,L,W,D,D,-0.09523809524,-0.619047619,-0.2380952381,-9
NH,1.095238095,0.5238095238,L,L,L,D,L,L,-0.1428571429,-1.238095238,-0.04761904762,-10
NH,1.476190476,2.095238095,W,D,W,W,W,W,-0.2380952381,1.238095238,0,6
H,0.8571428571,0.7142857143,L,L,L,D,L,L,-0.619047619,-0.5238095238,0.09523809524,-9
NH,1.619047619,2.333333333,W,W,W,W,W,W,0.6666666667,1.523809524,-0.1428571429,2
H,1.142857143,0.6666666667,D,L,W,L,D,L,0.1428571429,-0.6666666667,0.09523809524,4
NH,1.666666667,1.904761905,W,L,W,W,W,W,0.4761904762,0.8571428571,-0.1428571429,8
H,1.047619048,1.238095238,L,D,L,W,W,W,-0.3333333333,0.09523809524,-0.4761904762,-5
NH,1.238095238,0.7142857143,L,W,L,L,L,L,-0.1428571429,-0.9047619048,0.09523809524,-5
H,1.380952381,1.904761905,D,W,W,L,W,D,0.2380952381,0.2857142857,0.1428571429,-2
H,0.8636363636,1.409090909,L,W,D,L,W,D,-0.6363636364,-0.3181818182,-0.1818181818,8
H,0.6818181818,1.272727273,L,D,L,W,L,L,-0.5909090909,-0.04545454545,-0.04545454545,12
NH,0.7272727273,1.545454545,D,L,L,L,W,W,-0.8636363636,0.5909090909,-0.2727272727,14
NH,0.5454545455,1.136363636,D,D,L,W,L,D,-1.181818182,-0.2727272727,-0.1363636364,13
NH,2.136363636,1.227272727,W,W,W,W,D,L,1.272727273,0.1818181818,0.2727272727,-15
NH,1.181818182,1.090909091,L,W,W,D,L,L,0.04545454545,-0.1363636364,0.5,2
H,2.363636364,1.590909091,W,W,W,L,W,L,1.5,0.3636363636,0.2727272727,-9
H,1.818181818,1.227272727,L,L,W,D,L,W,0.1363636364,-0.1363636364,0.09090909091,4
NH,1.954545455,1.454545455,W,W,W,W,D,W,0.9090909091,0.3636363636,0,-12
NH,0.6363636364,0.9545454545,L,L,D,W,L,L,-0.6818181818,-0.5,-0.09090909091,3
H,1.217391304,0.6956521739,L,W,L,L,D,L,-0.1304347826,-0.8695652174,0.08695652174,-12
H,1.173913043,2.086956522,W,D,L,D,W,W,-0.08695652174,1.217391304,-0.3913043478,7
H,1.347826087,1.130434783,L,L,W,L,L,W,-0.347826087,0,-0.08695652174,-3
NH,1.608695652,1.913043478,W,L,W,D,W,W,0.6086956522,0.8695652174,-0.04347826087,1
H,1.217391304,0.7826086957,D,W,D,W,L,D,0.1739130435,-0.4782608696,0.1739130435,-2
H,1.130434783,0.652173913,D,W,L,D,L,L,-0.2608695652,-0.652173913,0.1304347826,-7
NH,1.173913043,0.9565217391,L,D,L,W,L,W,-0.1739130435,-0.5652173913,-0.1739130435,-2
NH,1.434782609,2.391304348,D,W,D,W,W,W,0.347826087,1.52173913,-0.1739130435,13
H,0.9565217391,0.5652173913,D,W,L,D,D,D,-0.4782608696,-1.130434783,0.04347826087,-9
NH,1.52173913,1.869565217,L,L,W,W,L,L,0.2608695652,0.1739130435,-0.04347826087,-6
NH,1.083333333,1.041666667,L,L,L,W,D,W,-0.08333333333,-0.4166666667,-0.04166666667,1
H,2.416666667,1.125,W,W,W,L,L,D,1.541666667,-0.2083333333,0.4583333333,-11
H,0.75,1.375,L,W,L,L,D,W,-0.5416666667,0.25,-0.1666666667,3
NH,1.833333333,1.416666667,D,W,L,W,L,L,0.1666666667,-0.25,0,10
H,1.958333333,1.291666667,W,D,W,W,L,W,0.875,0,0.2916666667,-3
NH,0.6666666667,1.5,L,L,D,D,L,L,-0.9583333333,0.25,-0.125,7
H,0.625,1.541666667,L,D,L,L,W,L,-0.6666666667,0.5416666667,-0.2916666667,8
H,0.5416666667,1.291666667,L,D,D,W,D,W,-1.125,0.25,-0.2083333333,2
H,2,1.208333333,L,D,W,W,D,W,1.125,-0.2083333333,0.08333333333,-4
NH,1.041666667,1.25,W,W,L,W,W,D,-0.5,-0.04166666667,0.125,7
NH,2.04,2,W,L,D,W,W,D,1.12,0.92,-0.12,-2
H,1.32,1.32,W,W,W,L,L,D,0,0.12,0.2,-7
NH,1.48,1.48,W,W,L,L,L,W,-0.2,0.44,0.12,3
H,1.08,1.48,L,L,L,D,D,L,-0.32,0.24,-0.16,2
NH,0.64,0.84,W,L,D,W,L,W,-1,-0.4,-0.04,0
H,1.04,0.72,L,L,L,W,L,D,-0.12,-0.56,-0.04,-2
NH,1,2.44,L,W,W,W,W,W,-0.52,1.6,-0.24,13
H,1.76,0.68,L,D,W,D,L,L,0.12,-0.92,0.08,-1
NH,1.12,1.24,W,W,D,L,W,L,-0.36,-0.08,0.16,3
NH,1.24,1.16,L,W,D,L,W,D,0.16,-0.24,0.04,11
NH,1.230769231,1.961538462,D,L,W,L,W,L,-0.07692307692,1,0,5
NH,0.8461538462,1.384615385,D,W,L,W,W,W,-0.3846153846,0.07692307692,-0.2307692308,10
H,1.538461538,1.115384615,W,L,L,D,W,W,0.4615384615,-0.3461538462,-0.1923076923,-5
H,2.038461538,1.115384615,W,W,W,W,L,L,0.9615384615,-0.07692307692,0.3846153846,-7
H,1.423076923,0.9615384615,L,D,D,L,L,W,0.1923076923,-0.5384615385,-0.1538461538,-4
NH,1.153846154,1.423076923,D,L,W,L,W,W,-0.2307692308,-0.2307692308,0.07692307692,-2
H,0.6538461538,0.6538461538,L,D,L,D,W,L,-0.9230769231,-0.9615384615,-0.1538461538,0
H,1.269230769,1.153846154,L,L,L,W,L,L,0.03846153846,-0.2692307692,0,2
NH,2.461538462,1.230769231,W,W,W,D,L,W,1.576923077,0.1538461538,0.2692307692,-14
NH,0.6923076923,1.807692308,L,W,L,W,L,D,-0.5769230769,0.1538461538,-0.1153846154,-5
H,1.074074074,1.592592593,L,W,L,W,W,L,-0.1481481481,0.5185185185,-0.2222222222,6
H,0.9259259259,0.7407407407,L,L,L,W,L,D,-0.5555555556,-0.8518518519,0.07407407407,-3
NH,1.444444444,1.481481481,W,W,W,W,L,D,0.1111111111,0.2222222222,0.3703703704,-3
NH,1.777777778,2.407407407,D,W,L,D,W,W,0.1481481481,1.518518519,-0.1851851852,15
NH,1.111111111,1.185185185,L,W,L,L,D,L,-0.3333333333,-0.1481481481,-0.03703703704,7
NH,1.222222222,2.074074074,D,D,L,W,W,W,0.1481481481,1,-0.2592592593,13
H,2,0.8148148148,W,L,W,L,D,W,1.037037037,-0.4074074074,0,-17
NH,0.6296296296,0.7037037037,L,D,W,D,L,W,-0.962962963,-0.5555555556,0,6
NH,1.185185185,1.777777778,L,D,L,D,W,L,-0.1481481481,0.1481481481,-0.1481481481,-11
H,0.8148148148,1.074074074,L,D,W,L,W,L,-0.4074074074,-0.1481481481,0.1481481481,8
H,2.107142857,1.071428571,W,W,W,L,L,W,1.035714286,-0.3571428571,0.4285714286,-10
NH,0.7142857143,2.035714286,D,D,L,W,W,L,-0.5357142857,1.142857143,-0.1428571429,11
H,1.392857143,1.035714286,W,W,L,L,L,D,0.1785714286,-0.4642857143,-0.03571428571,6
NH,1.464285714,1.392857143,D,W,L,D,D,L,0.2142857143,-0.2142857143,-0.07142857143,4
H,1.214285714,1.428571429,W,D,D,D,W,W,-0.1785714286,0.1071428571,-0.1785714286,-3
NH,0.7142857143,1.178571429,L,W,L,L,D,D,-0.9285714286,0.07142857143,-0.03571428571,2
H,2.035714286,1.071428571,W,W,L,L,L,W,1.142857143,-0.3571428571,0.2142857143,-12
H,1.25,1.464285714,W,L,D,D,W,L,-0.1071428571,0.2142857143,0.03571428571,-5
NH,0.7857142857,2.107142857,L,L,D,W,W,W,-0.5357142857,1.035714286,-0.3928571429,15
NH,1.035714286,1.392857143,L,L,D,D,D,L,-0.4642857143,-0.2142857143,-0.03571428571,2
H,1.275862069,1.482758621,W,W,D,L,L,W,-0.1379310345,0.3793103448,0.06896551724,1
NH,0.6896551724,2.448275862,L,L,W,W,W,D,-0.9310344828,1.517241379,-0.3103448276,16
H,0.724137931,1.344827586,D,D,D,L,W,W,-0.5172413793,0.1379310345,0,-3
NH,1.75862069,1.068965517,W,L,D,W,W,L,0.1724137931,-0.3793103448,0.03448275862,2
H,0.724137931,1.103448276,W,D,L,L,W,L,-0.8275862069,-0.1379310345,0.06896551724,8
NH,1.24137931,1.379310345,W,L,D,L,D,W,0.1034482759,0.06896551724,-0.1724137931,8
H,2.448275862,0.724137931,W,W,D,W,D,L,1.517241379,-0.8275862069,0.1724137931,-16
H,1.379310345,1.344827586,D,D,D,L,W,W,-0.2068965517,0.1379310345,0,-8
NH,1.482758621,1.068965517,L,L,W,W,W,L,0.3793103448,-0.3793103448,0,-11
NH,1.068965517,2,W,W,L,D,W,W,-0.3793103448,1.103448276,-0.1379310345,14
H,1.433333333,0.6666666667,W,L,D,L,L,L,0.1,-0.9666666667,0.2333333333,-10
NH,1.433333333,0.7,W,D,D,L,W,D,-0.1333333333,-0.8333333333,0.03333333333,-11
H,2.466666667,0.8666666667,W,W,W,D,W,L,1.5,-0.4333333333,0.2666666667,-16
H,2.1,1,D,W,W,L,D,L,1,-0.4666666667,0.3666666667,-6
NH,1,1.266666667,L,L,L,D,W,W,-0.4666666667,-0.1333333333,-0.2,8
H,1.3,1.2,L,L,W,L,W,L,0.06666666667,0.06666666667,0.03333333333,-1
H,1.066666667,1.266666667,L,L,W,W,L,W,-0.2,-0.1,-0.03333333333,4
H,1.466666667,1.7,D,L,L,L,W,L,0.3666666667,0.1333333333,0,-13
NH,1.4,0.8,L,D,D,W,D,D,0.1333333333,-0.4666666667,-0.03333333333,-1
H,2.033333333,0.6666666667,W,D,W,L,L,L,1.166666667,-0.9666666667,0.2333333333,-17
NH,1.129032258,1.35483871,W,L,L,W,L,L,-0.1290322581,0.09677419355,-0.09677419355,-5
NH,1.387096774,1.161290323,L,W,D,L,L,W,-0.2258064516,0.03225806452,0.06451612903,-9
NH,0.8387096774,1.35483871,L,D,W,L,L,D,-0.5161290323,0.06451612903,-0.03225806452,7
H,1.516129032,1.483870968,W,D,L,W,W,L,0.3870967742,0.1290322581,-0.09677419355,-4
NH,2.129032258,1.032258065,W,D,W,L,D,W,1,-0.3870967742,0.1935483871,-12
NH,1.225806452,1.225806452,L,D,W,L,W,L,-0.2258064516,-0.1612903226,0.06451612903,-1
